RUN;Nombre;"Apellido P";x;x;x;0;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;"GRADO ACADÉMICO";"JERARQUÍA ";CARGO;"academico y administrativo"
19156759;x;x;x;x;x;40;"FULL TIME";x;x;x;x;x;x;"Secretaria (o)";administrativo
15059751;Rufus;Scrimgeour;x;rufus.scrimgeour.devia@coldmail.com;x;0;HONORARIO;diurno;x;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR REGULAR";x;academico
21423313;Séptima;Vector;x;septima.vector@yeeha.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;DOCTOR;"ASISTENTE DOCENTE";"Director (a) Formación Cont. y Postgra";"academico y administrativo"
20082984;Vernon;Dursley;x;vernon.dursley.renard@yeeha.com;x;0;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
22035082;JK;Rowling;x;hkrowling@editorial.edito;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;x;"ASOCIADO DOCENTE";"Profesor por Jornada";"academico y administrativo"
17241044;Voldemort;SeñorOscuro;x;voldemort.senoroscuros.elinnombrable@gmall.com;x;0;"FULL TIME";diurno;x;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO REGULAR";"Profesor por Jornada";"academico y administrativo"
19457329;Fleur;Delacour;x;fleur.delacour.diaz@gmall.com;x;0;"FULL TIME";diurno;vespertino;BEAUXBATON;x;LICENCIATURA;"INSTRUCTORA DOCENTE";"Secretaria Estudios";"academico y administrativo"
23677609;Daphne;Greengrass;x;daphne.greengrass@michea.com;x;0;HONORARIO;diurno;x;BEAUXBATON;x;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
15089005;Bellatrix;Lestrange;x;bellatrix.lestrange.beltran@gmall.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"TITULAR REGULAR";x;academico
24017462;Steve;" Kloves";x;x;x;0;x;x;x;x;x;x;x;x;x
12684784-K;x;x;x;x;x;40;x;x;x;x;x;x;x;"Secretario (a) de Dirección";administrativo
19064170;Gilderoy;Lockhart;x;gilderoy.lockhart@yeeha.com;x;0;HONORARIO;diurno;x;BEAUXBATON;HECHICERÍA;"DOCTOR ";"ASISTENTE DOCENTE";x;academico
16789372;Ernie;Macmillan;x;ernie.macmillan@riquelme.com;x;0;"FULL TIME";diurno;x;BEAUXBATON;HECHICERÍA;MAGISTER;"ASOCIADO DOCENTE";"Director(a) Carrera (i)";"academico y administrativo"
17043066;Minerva;McGonagall;x;minerva.mcgonagall@gmall.com;x;0;HONORARIO;diurno;x;x;x;MAGISTER;"ASISTENTE DOCENTE";x;academico
9866866;Luna;Lovegood;x;luna.lovegood.diaz@yeeha.com;x;0;x;diurno;x;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
22073090;Dennis;Creevey;x;dennis.creevey.nash@gmall.com;x;0;x;x;x;x;x;MAGISTER;x;x;x
7777777;"EDUARDO SANTIAGO";BUSTOS;x;eb@uc.cl;eb@lamejor.cl;80;x;"A VECES";TAMBIEN;HOGWARTS;x;x;BAJA;JUNIOR;"academico y administrativo"
13689982;Remus;Lupin;x;remus.lupin@coldmail.com;x;0;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Profesor por Jornada";"academico y administrativo"
8270690;Vincent;Crabbe;x;vincent.crabbe.piturra@gmall.com;x;0;HONORARIO;x;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";x;academico
15647936;x;x;x;x;x;0;HONORARIO;x;x;x;x;MAGISTER;"INSTRUCTOR DOCENTE";"Profesor por Jornada";"academico y administrativo"
7682646;Dudley;Dursley;x;dudley.dursley.plaza@coldmail.com;x;0;HONORARIO;x;x;BEAUXBATON;HECHICERÍA;MAGISTER;"INSTRUCTOR DOCENTE";x;academico
6666666;Voldemort;SeñorOscuro;x;voldemort.senoroscuros@elinnombrable.com;x;0;GRATIS;diurno;x;x;x;" LICENCIATURA";x;VACANTE;administrativo
9808360;Firenze;x;x;firenze@yeeha.com;x;0;x;x;x;x;x;x;x;x;x
