"﻿Código Plan";Carrera;Cohorte;"Número de alumno";Bloqueo;"Causal Bloqueo";RUN;DV;Nombres;;"Primer Apellido";"Segundo Apellido";Logro;"Fecha Logro";"Última Carga"
WH1;Hechicería;2013-01;389368;N;"Sin Bloqueo";18678398;7;DELCA;ALEJAN;AROCA;LAFFERTE;"1 AÑO";2013-01;2013-01
WH2;Hechicería;2020-01;388287;N;"Sin Bloqueo";5773878;8;COLOMBA;DANYA;QUEZADA;TOPP;INGRESO;2020-01;
WH2;Hechicería;2020-01;467288;N;"Sin Bloqueo";18316956;6;GAMAL;ARMANDINA;NIVIN;SAMUR;INGRESO;2020-01;
HP2;Magia;2022-01;655765;N;"Sin Bloqueo";20185091;7;ARISTÍDES;KATHERYNE;FEJES;"DE RUYT";INGRESO;2022-01;
HP2;Magia;2022-01;474764;N;"Sin Bloqueo";21409877;2;CHRISTOFHER;GERHARD;SCHILLING;BADANI;INGRESO;2022-01;
HP2;Magia;2022-01;463763;N;"Sin Bloqueo";8509444;6;NAYRA;ELAINE;MANSO;ARELLANO;INGRESO;2022-01;
HP2;Magia;2022-01;493762;N;"Sin Bloqueo";16796437;4;CARMIÑA;GIANNY;LAM;ALUCEMA;INGRESO;2022-01;
PH1;Magia;2022-01;615952;N;"Sin Bloqueo";24231776;0;HENID;PURISIMA;CHANDIA;JAIME;INGRESO;2022-01;
HP2;Magia;2022-01;458769;N;"Sin Bloqueo";14813687;1;ESTER;NATALY;ALONSO;ALMONTE;INGRESO;2022-01;
HP2;Magia;2022-02;448789;S;"BLOQUEO POR NO INSCRIPCION";9327234;5;CAROLA;NEO;LILLO;INZUNZA;INGRESO;2022-02;
HP2;Magia;2023-01;504911;S;"SUSPENSION DE ESTUDIOS";6843987;4;ALBER;LUKAS;SEMMLER;SPENCER;INGRESO;2023-01;
HP2;Magia;2023-01;521988;N;"Sin Bloqueo";14098509;7;AMANDA;VANESA;VILLAR;TORREBLANCA;INGRESO;2023-01;
HP2;Magia;2023-01;492005;N;"Sin Bloqueo";25843105;3;CATALINA;ROSSIE;BOBADILLA;DUNSTAN;INGRESO;2023-01;
HP2;Magia;2023-01;616000;S;"CAMBIO DE PLAN O CARRERA";21794235;1;NOREDY;GRISEL;MURGA;DUBO;INGRESO;2023-01;
HP2;Magia;2023-02;385008;S;"BLOQUEO POR INTERCAMBIO";17734410;2;ROGER;ESTEPHANIE;GONZÁLEZ;WATKINS;INGRESO;2023-02;
HP2;Magia;2023-02;399009;S;"CAMBIO DE PLAN O CARRERA";10055195;5;DONKA;BERNABÉ;HERNANDEZ;ALBARRAN;INGRESO;2023-02;
HW1;Magia;2005-02;481689;S;"SUSPENSION DE ESTUDIOS";10838564;4;DELALUZ;AURORA;LABBE;ERAZO;INGRESO;2005-02;
HW1;Magia;2000-01;488325;S;"ALUMNO EGRESADO";17394618;6;FABRIZIO;RALLEN;GUAMÁN;MAC-INNES;"QUINTO AÑO - EGRESO";2006-01;2006-01
HP1;Magia;2001-01;576123;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";12921878;4;RAISBEL;CRISTÓBAL;THIELEMANN;SUTHERLAND;INGRESO;2001-01;
HW1;Magia;2008-02;408806;S;"BLOQUEO POR NO INSCRIPCION";18917759;2;KARYN;ROMAN;ABALOS;GAETE;"CUARTO AÑO";2008-02;2008-02
HP1;Magia;1995-01;395981;S;"ALUMNO EGRESADO";21511139;8;ARELY;PATRICIO;MAURO;VERNAL;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1986-01;558718;S;"BLOQUEO POR NO INSCRIPCION";14521962;8;YANARA;JEANS;MAZUELA;OLATE;INGRESO;1985-01;
HW1;Magia;2001-01;459364;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";6175568;8;ROCÍO;SAUL;PARAUD;BELMAR;INGRESO;2001-01;
HW1;Magia;2002-01;466320;S;"ALUMNO EGRESADO";25150706;K;ENGHEL;CHRISTIANS;CANTILLANO;CHEHADE;"QUINTO AÑO - EGRESO";2006-02;2006-02
HW2;Magia;2012-01;645058;N;"Sin Bloqueo";16744617;7;LEONOR;ENRIQUEZ;PASTORIZA;PICEROS;INGRESO;2012-01;
HW1;Magia;2000-01;478396;S;"ALUMNO EGRESADO";8441459;9;KENNY;PABLORAIM;ZERENE;GALARCE;"CUARTO AÑO";2004-01;2005-01
HW1;Magia;2000-01;381412;S;"ALUMNO EGRESADO";20046479;8;ELIEZER;DANNAE;PROVIDELL;COBOS;"QUINTO AÑO - EGRESO";2005-02;2005-02
HW1;Magia;2001-01;598413;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";22253570;7;CRISTI;TERESA;BRITO;FLORIDO;"PRIMER AÑO";2004-01;2004-01
HW1;Magia;2003-01;436339;S;"ALUMNO EGRESADO";24884291;0;ZITA;BENITO;JOCIC;FONTALVO;"QUINTO AÑO - EGRESO";2015-01;2015-01
HW1;Magia;2000-01;392397;S;"ALUMNO EGRESADO";23083071;K;ALYSON;JEFFERSON;RUBINEK;RICCI;"QUINTO AÑO - EGRESO";2006-02;2006-02
HW1;Magia;2000-01;525416;S;"ALUMNO LICENCIADO";12547677;1;ALEXANDRE;VIARLY;FISCHER;POZA;"CUARTO AÑO";2006-01;2007-01
HW1;Magia;1990-01;587842;S;"ALUMNO EGRESADO";5248213;0;DAIANA;ELWOOD;CANESSA;HUENCHULEO;"QUINTO AÑO - EGRESO";2005-01;2005-01
HW2;Magia;2017-01;384820;N;"Sin Bloqueo";13396977;8;ALFONSINA;ORIANA;RIZIK;LASSERRE;INGRESO;2017-01;
HW1;Magia;2003-01;481333;N;"Sin Bloqueo";12525678;0;MARCO;SAMIR;TIEDEMANN;VAILLANT;"QUINTO AÑO - EGRESO";2008-01;2008-01
HP1;Magia;1985-01;532764;S;"ALUMNO EGRESADO";25190034;5;DAMIÁN;IRIS;"SAN CRISTÓBAL";JULIÁ;"CUARTO AÑO";1989-01;1992-01
GH1;Magia;2003-01;541048;S;"ALUMNO CON DEUDA MOROSA";13269680;1;PETER;FLOREN;ROVANO;ALCA;"PRIMER AÑO";2003-02;2003-02
HP1;Magia;1986-01;432846;N;"Sin Bloqueo";16405489;7;TERESA;GLADYS;VUKASOVIC;BETTIZ;"QUINTO AÑO- EGRESO";1994-02;1994-02
HW1;Magia;2001-01;517369;S;"ALUMNO EGRESADO";17593486;2;TITO;DANTE;JOCIC;BRIONES;"QUINTO AÑO - EGRESO";2005-01;2005-01
PH2;Magia;2005-01;374037;S;"SUSPENSION DE ESTUDIOS";11302330;6;SIHOMARA;BETSABÉ;ROSA;CESPEDES;INGRESO;2005-01;
HW1;Magia;2001-01;592368;S;"ALUMNO EGRESADO";6056493;5;GUNTHER;RONINIE;SILVA;CANIHUANTE;"QUINTO AÑO - EGRESO";2005-02;2005-02
HP1;Magia;1988-01;386071;S;"ALUMNO EGRESADO";22493817;9;MARIAJESUS;SAVKA;DEVAUD;RUMOROSO;"QUINTO AÑO- EGRESO";2001-01;2001-01
HW1;Magia;2001-01;403420;S;"ALUMNO EGRESADO";15809844;7;OSVALDO;ARLENE;BASSI;"DE RUYT";"QUINTO AÑO - EGRESO";2005-01;2005-01
GH1;Magia;2004-01;623014;S;"ALUMNO LICENCIADO";5106797;2;LAUTARO;MERICIA;CHÁVEZ;MATAMOROS;"QUINTO AÑO - EGRESO";2015-01;2015-01
HW2;Magia;2012-01;629130;S;"SUSPENSION DE ESTUDIOS";5245917;0;LUISA;AYLIN;ABDALE;VILLA;INGRESO;2012-01;
HW2;Magia;2011-01;506758;S;"SUSPENSION DE ESTUDIOS";14225413;7;JELOIN;MARGOT;ÁLVAREZ;FAJARDO;INGRESO;2011-01;
HP1;Magia;1992-01;471152;S;"ALUMNO EGRESADO";10563661;8;VALEZKA;GISELLA;LARRAIN;BELLONI;"QUINTO AÑO- EGRESO";1996-02;1996-02
HW1;Magia;2000-01;381411;S;"BLOQUEO POR NO INSCRIPCION";12218494;3;KATERI;RUBINA;JAIME;BASTÍAS;"PRIMER AÑO";2000-02;2000-02
HP1;Magia;1990-01;536567;S;"BLOQUEO POR NO INSCRIPCION";14207987;K;JUANJOSE;JAMILY;LORA;"SANTA MARIA";INGRESO;1990-01;
HP1;Magia;1988-01;468528;S;"BLOQUEO POR NO INSCRIPCION";10750903;2;EMMANUEL;ELÍAS;CARRAMIÑANA;CABRERA;"TERCER AÑO";1992-01;1997-01
HP1;Magia;1988-01;567800;S;"BLOQUEO POR NO INSCRIPCION";19370570;4;DARY;YASSEL;PIMENTEL;AZAGRA;"SEGUNDO AÑO";1991-01;1995-01
HW1;Magia;2003-01;637354;S;"ALUMNO CON DEUDA MOROSA";17902724;8;DESIREE;DANICA;ENCINA;BRIONES;INGRESO;2003-01;
HW1;Magia;2002-01;514340;S;"ALUMNO EGRESADO";24650385;0;ÁLVARO;EMANUEL;ALDAY;MUSSO;"QUINTO AÑO - EGRESO";2007-01;2007-01
HW1;Magia;2002-01;572332;S;"ALUMNO EGRESADO";20999319;9;CLEFELINA;LEONCIO;MALO;PAEZ;"QUINTO AÑO - EGRESO";2008-01;2008-01
HP1;Magia;2006-01;519725;S;"ALUMNO EGRESADO";25373122;4;ZAMAR;KARENINA;ESPINOZA;SANI;"QUINTO AÑO- EGRESO";2008-01;2008-01
HW1;Magia;2003-01;542337;S;"BLOQUEO POR NO INSCRIPCION";12281370;1;ANGELINA;KEOMARA;ALAMO;MAGNERE;"QUINTO AÑO - EGRESO";2008-01;2008-01
GH1;Magia;2004-01;637011;S;"BLOQUEO POR NO INSCRIPCION";10585608;2;GIORGIO;SABINNA;BERRIOS;ARLEGUI;"SEGUNDO AÑO";2005-01;2005-01
HW1;Magia;2002-01;383351;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";16815592;7;ARIANNA;IVANNI;PAVAT;LABBÉ;INGRESO;2002-01;
HW2;Magia;2005-01;382127;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";25381795;0;ERIC;SEBASTIÁN;COURTIN;O'RYAN;INGRESO;2005-01;2005-02
HW1;Magia;2000-01;535394;S;"BLOQUEO POR NO INSCRIPCION";4431573;K;ARCHIVALDO;FERMIN;MUR;MATTOS;"PRIMER AÑO";2000-01;2000-02
GH1;Magia;2004-01;404001;S;"ALUMNO EGRESADO";15821637;6;NÁYADET;RAMON;AGURTO;FELIU;"QUINTO AÑO - EGRESO";2008-01;2008-01
HW1;Magia;2000-01;403385;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - SOBREPASO EL N° DE OPORTUNIDADES PARA SUPERAR ASIGNATURAS";25387296;6;YARID;GRIMANESA;VUSKOVIC;ALBURQUENQUE;"TERCER AÑO";2005-01;2006-01
